1300000,3,4,"['Kasur', 'Lemari Baju', 'AC', 'WiFi', 'Cleaning service', 'Maks. 2 orang/ kamar', 'Kloset Duduk', 'Shower', 'K. Mandi Luar', 'Kloset Jongkok', 'Bak mandi', 'R. Tamu', 'Dapur', 'R. Jemur', 'R. Cuci', 'Laundry', 'Akses 24 Jam', 'Dapur', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', 'Masjid', 'kalau berdua tambah 200ribu']"
2600000,3,4,"['Kasur', 'Lemari Baju', 'TV', 'AC', 'WiFi', 'Bisa pasutri', 'Maks. 2 orang/ kamar', 'K. Mandi Dalam', 'Kloset Duduk', 'Shower', 'Laundry', 'Akses 24 Jam', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', 'Masjid']"
1700000,3,2.5,"['Kasur', 'Lemari Baju', 'AC', 'Meja', 'Bisa pasutri', 'Maks. 2 orang/ kamar', 'Bantal', 'Guling', 'Jendela', 'Ventilasi', 'K. Mandi Dalam', 'Kloset Duduk', 'Shower', 'R. Jemur', 'R. Cuci', 'Mesin Cuci', 'Akses 24 Jam', 'CCTV', 'Parkir Motor', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', 'Masjid']"
2200000,3,4,"['Kasur', 'Lemari Baju', 'TV', 'AC', 'Meja', 'WiFi', 'Bisa pasutri', 'Khusus karyawan', 'K. Mandi Dalam', 'Kloset Duduk', 'TV', 'Akses 24 Jam', 'Parkir Motor', 'Parkir Sepeda', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Pusat belanja / Mall', 'Masjid']"
2000000,3,4,"['Kasur', 'Lemari Baju', 'TV', 'AC', 'WiFi', 'Meja Rias', 'Bisa pasutri', 'K. Mandi Dalam', 'Kloset Duduk', 'Laundry', 'TV', 'Akses 24 Jam', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Pusat belanja / Mall', 'Masjid']"
2300000,2.8,"4,5","['Kasur', 'Lemari Baju', 'TV', 'AC', 'Meja', 'WiFi', 'Kulkas', 'Bisa pasutri', 'Cleaning service', 'TV Kabel', 'Kartu Akses', 'Shower', 'K. Mandi Luar', 'Kloset Jongkok', 'Ember mandi', 'R. Tamu', 'Dapur', 'R. Santai', 'Penjaga Keamanan', 'Mushola', 'Dispenser', 'TV', 'Akses 24 Jam', 'K. Mandi Luar', 'kulkas, dispenser, tv, dapur', 'Parkir Mobil', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Masjid', 'Listrik Token']"
2800000,2.8,"4,5","['Kasur', 'Lemari Baju', 'AC', 'WiFi', 'Kulkas', 'Bisa pasutri', 'Cleaning service', 'Maks. 2 orang/ kamar', 'TV Kabel', 'Kartu Akses', 'Shower', 'K. Mandi Luar', 'Kloset Jongkok', 'Air panas', 'R. Tamu', 'Dapur', 'R. Santai', 'Penjaga Keamanan', 'Mushola', 'Dispenser', 'Akses 24 Jam', 'kulkas, dispenser, tv, dapur', 'Parkir Mobil', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Masjid']"
3000000,2.8,"4,5","['Kasur', 'Lemari Baju', 'AC', 'Meja', 'WiFi', 'Kulkas', 'Bisa pasutri', 'Cleaning service', 'TV Kabel', 'Kartu Akses', 'K. Mandi Dalam', 'Kloset Duduk', 'Shower', 'Air panas', 'R. Tamu', 'Dapur', 'R. Santai', 'Penjaga Keamanan', 'Mushola', 'Dispenser', 'Akses 24 Jam', 'kulkas, dispenser, tv, dapur', 'Parkir Mobil', 'Parkir Motor', 'Parkir Sepeda', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Masjid']"
1750000,3,3,"['Kasur', 'Lemari Baju', 'AC', 'Meja', 'WiFi', 'Kursi', 'Wastafel', 'Bantal', 'Cermin', 'Jendela', 'Kamar khusus pasutri', 'K. Mandi Dalam', 'Kloset Duduk', 'Shower', 'R. Tamu', 'Dapur', 'R. Santai', 'R. Jemur', 'R. Cuci', 'Dispenser', 'TV', 'Akses 24 Jam', 'K. Mandi Luar', 'CCTV', 'Pengurus Kos', 'Rice Cooker', 'Jemuran', 'Parkir Motor', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', 'Masjid', '-']"
1500000,"2,5 "," 2,5","['Kasur', 'Lemari Baju', 'TV', 'AC', 'WiFi', 'Listrik Token', 'Shower', 'K. Mandi Luar', 'Kloset Jongkok', 'Bak mandi', 'R. Jemur', 'Dispenser', 'Balcon', 'Akses 24 Jam', 'K. Mandi Luar', 'Parkir Motor', 'Warung makan / Rumah makan', 'Mini market / Warung kelontong', 'ATM / Bank', 'Apotek / Klinik', 'Kampus / Sekolah', 'Halte Bus / Pos Ojek', 'Pusat belanja / Mall', 'Masjid']"
